CVE_id,CVSS,From,Upto,cpe,cwe,description,patch
CVE-2017-3735,5.3 MEDIUM,,,"[['0.9.7j'], ['0.9.7k'], ['0.9.7l'], ['0.9.7m'], ['0.9.8'], ['0.9.8a'], ['0.9.8b'], ['0.9.8c'], ['0.9.8d'], ['0.9.8e'], ['0.9.8f'], ['0.9.8g'], ['0.9.8h'], ['0.9.8i'], ['0.9.8j'], ['0.9.8k'], ['0.9.8l'], ['0.9.8m'], ['0.9.8m'], ['0.9.8n'], ['0.9.8o'], ['0.9.8p'], ['0.9.8q'], ['0.9.8r'], ['0.9.8s'], ['0.9.8t'], ['0.9.8u'], ['0.9.8v'], ['0.9.8w'], ['0.9.8x'], ['0.9.8y'], ['0.9.8z'], ['0.9.8za'], ['0.9.8zb'], ['0.9.8zc'], ['0.9.8ze'], ['0.9.8zg'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.0p'], ['1.0.0q'], ['1.0.0r'], ['1.0.0s'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2h'], ['1.0.2i'], ['1.0.2j'], ['1.0.2k'], ['1.0.2l'], ['1.1.0'], ['1.1.0a'], ['1.1.0b'], ['1.1.0c'], ['1.1.0d'], ['1.1.0e'], ['1.1.0f']]",CWE-119,"While parsing an IPAddressFamily extension in an X.509 certificate, it is possible to do a one-byte overread. This would result in an incorrect text display of the certificate. This bug has been present since 2006 and is present in all versions of OpenSSL before 1.0.2m and 1.1.0g.",https://www.openssl.org/news/secadv/20170828.txt
CVE-2016-8610,7.5 HIGH,"From (including),1.0.2","Up to (including),1.0.2h","[['0.9.8'], ['1.0.1'], [], ['1.1.0']]",CWE-400,"A denial of service flaw was found in OpenSSL 0.9.8, 1.0.1, 1.0.2 through 1.0.2h, and 1.1.0 in the way the TLS/SSL protocol defined processing of ALERT packets during a connection handshake. A remote attacker could use this flaw to make a TLS/SSL server consume an excessive amount of CPU and fail to accept connections from other clients.","https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-8610,https://git.openssl.org/gitweb/?p=openssl.git;a=commit;h=af58be768ebb690f78530f796e92b8ae5c9a4401"
CVE-2017-3737,5.9 MEDIUM,,,"[['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h'], ['1.0.2i'], ['1.0.2j'], ['1.0.2k'], ['1.0.2l'], ['1.0.2m']]",CWE-787,"OpenSSL 1.0.2 (starting from version 1.0.2b) introduced an ""error state"" mechanism. The intent was that if a fatal error occurred during a handshake then OpenSSL would move into the error state and would immediately fail if you attempted to continue the handshake. This works as designed for the explicit handshake functions (SSL_do_handshake(), SSL_accept() and SSL_connect()), however due to a bug it does not work correctly if SSL_read() or SSL_write() is called directly. In that scenario, if the handshake fails then a fatal error will be returned in the initial function call. If SSL_read()/SSL_write() is subsequently called by the application for the same SSL object then it will succeed and the data is passed without being decrypted/encrypted directly from the SSL/TLS record layer. In order to exploit this issue an application bug would have to be present that resulted in a call to SSL_read()/SSL_write() being issued after having already received a fatal error. OpenSSL version 1.0.2b-1.0.2m are affected. Fixed in OpenSSL 1.0.2n. OpenSSL 1.1.0 is not affected.",
CVE-2017-3738,5.9 MEDIUM,,,"[['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h'], ['1.0.2i'], ['1.0.2j'], ['1.0.2k'], ['1.0.2l'], ['1.0.2m'], ['1.1.0'], ['1.1.0a'], ['1.1.0b'], ['1.1.0c'], ['1.1.0d'], ['1.1.0e'], ['1.1.0f'], ['1.1.0g']]",CWE-200,"There is an overflow bug in the AVX2 Montgomery multiplication procedure used in exponentiation with 1024-bit moduli. No EC algorithms are affected. Analysis suggests that attacks against RSA and DSA as a result of this defect would be very difficult to perform and are not believed likely. Attacks against DH1024 are considered just feasible, because most of the work necessary to deduce information about a private key may be performed offline. The amount of resources required for such an attack would be significant. However, for an attack on TLS to be meaningful, the server would have to share the DH1024 private key among multiple clients, which is no longer an option since CVE-2016-0701. This only affects processors that support the AVX2 but not ADX extensions like Intel Haswell (4th generation). Note: The impact from this issue is similar to CVE-2017-3736, CVE-2017-3732 and CVE-2015-3193. OpenSSL version 1.0.2-1.0.2m and 1.1.0-1.1.0g are affected. Fixed in OpenSSL 1.0.2n. Due to the low severity of this issue we are not issuing a new release of OpenSSL 1.1.0 at this time. The fix will be included in OpenSSL 1.1.0h when it becomes available. The fix is also available in commit e502cc86d in the OpenSSL git repository.",
CVE-2016-7056,,,"Up to (including),1.0.1u",[[]],CWE-320,A timing attack flaw was found in OpenSSL 1.0.1u and before that could allow a malicious user with local access to recover ECDSA P-256 private keys.,"http://www.securitytracker.com/id/1037575,https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-7056,https://ftp.openbsd.org/pub/OpenBSD/patches/5.9/common/033_libcrypto.patch.sig,https://ftp.openbsd.org/pub/OpenBSD/patches/6.0/common/016_libcrypto.patch.sig,https://git.openssl.org/?p=openssl.git;a=commit;h=8aed2a7548362e88e84a7feb795a3a97e8395008,https://people.canonical.com/~ubuntu-security/cve/2016/CVE-2016-7056.html,https://security-tracker.debian.org/tracker/CVE-2016-7056"
CVE-2018-0735,5.9 MEDIUM,"From (including),1.1.0","Up to (including),1.1.0i","[[], ['1.1.1']]",CWE-327,The OpenSSL ECDSA signature algorithm has been shown to be vulnerable to a timing side channel attack. An attacker could use variations in the signing algorithm to recover the private key. Fixed in OpenSSL 1.1.0j (Affected 1.1.0-1.1.0i). Fixed in OpenSSL 1.1.1a (Affected 1.1.1).,"https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=56fb454d281a023b3f950d969693553d3f3ceea1,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=b1d6d55ece1c26fa2829e2b819b038d7b6d692b4,https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html,https://www.oracle.com/technetwork/security-advisory/cpujan2019-5072801.html"
CVE-2018-0734,5.9 MEDIUM,"From (including),1.0.2,From (including),1.1.0","Up to (including),1.0.2p,Up to (including),1.1.0i","[[], [], ['1.1.1']]",CWE-327,The OpenSSL DSA signature algorithm has been shown to be vulnerable to a timing side channel attack. An attacker could use variations in the signing algorithm to recover the private key. Fixed in OpenSSL 1.1.1a (Affected 1.1.1). Fixed in OpenSSL 1.1.0j (Affected 1.1.0-1.1.0i). Fixed in OpenSSL 1.0.2q (Affected 1.0.2-1.0.2p).,"https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=43e6a58d4991a451daf4891ff05a48735df871ac,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=8abfe72e8c1de1b95f50aa0d9134803b4d00070f,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=ef11e19d1365eea2b1851e6f540a0bf365d303e7,https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html,https://www.oracle.com/technetwork/security-advisory/cpujan2019-5072801.html"
CVE-2020-7041,5.3 MEDIUM,,"Up to (including),1.0.2",[[]],CWE-295,An issue was discovered in openfortivpn 1.11.0 when used with OpenSSL 1.0.2 or later. tunnel.c mishandles certificate validation because an X509_check_host negative error code is interpreted as a successful return value.,"https://github.com/adrienverge/openfortivpn/commit/60660e00b80bad0fadcf39aee86f6f8756c94f91,https://github.com/adrienverge/openfortivpn/commit/cd9368c6a1b4ef91d77bb3fdbe2e5bc34aa6f4c4"
CVE-2020-7042,5.3 MEDIUM,,"Up to (including),1.0.2",[[]],CWE-295,An issue was discovered in openfortivpn 1.11.0 when used with OpenSSL 1.0.2 or later. tunnel.c mishandles certificate validation because the hostname check operates on uninitialized memory. The outcome is that a valid certificate is never accepted (only a malformed certificate may be accepted).,"https://github.com/adrienverge/openfortivpn/commit/9eee997d599a89492281fc7ffdd79d88cd61afc3,https://github.com/adrienverge/openfortivpn/commit/cd9368c6a1b4ef91d77bb3fdbe2e5bc34aa6f4c4"
CVE-2020-7043,9.1 CRITICAL,,"Up to (excluding),1.0.2",[[]],CWE-295,"An issue was discovered in openfortivpn 1.11.0 when used with OpenSSL before 1.0.2. tunnel.c mishandles certificate validation because hostname comparisons do not consider '\0' characters, as demonstrated by a good.example.com\x00evil.example.com attack.","https://github.com/adrienverge/openfortivpn/commit/6328a070ddaab16faaf008cb9a8a62439c30f2a8,https://github.com/adrienverge/openfortivpn/commit/cd9368c6a1b4ef91d77bb3fdbe2e5bc34aa6f4c4"
CVE-2016-2842,9.8 CRITICAL,,,"[['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f']]",CWE-119,"The doapr_outch function in crypto/bio/b_print.c in OpenSSL 1.0.1 before 1.0.1s and 1.0.2 before 1.0.2g does not verify that a certain memory allocation succeeds, which allows remote attackers to cause a denial of service (out-of-bounds write or memory consumption) or possibly have unspecified other impact via a long string, as demonstrated by a large amount of ASN.1 data, a different vulnerability than CVE-2016-0799.",
CVE-2000-1254,7.5 HIGH,,"Up to (including),0.9.5",[[]],CWE-310,"crypto/rsa/rsa_gen.c in OpenSSL before 0.9.6 mishandles C bitwise-shift operations that exceed the size of an expression, which makes it easier for remote attackers to defeat cryptographic protection mechanisms by leveraging improper RSA key generation on 64-bit HP-UX platforms.",
CVE-2016-2105,7.5 HIGH,,,"[['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g']]",CWE-189,Integer overflow in the EVP_EncodeUpdate function in crypto/evp/encode.c in OpenSSL before 1.0.1t and 1.0.2 before 1.0.2h allows remote attackers to cause a denial of service (heap memory corruption) via a large amount of binary data.,"http://www.oracle.com/technetwork/security-advisory/cpujan2018-3236628.html,http://www.oracle.com/technetwork/security-advisory/cpujul2016-2881720.html,http://www.oracle.com/technetwork/security-advisory/cpujul2017-3236622.html,http://www.oracle.com/technetwork/security-advisory/cpujul2018-4258247.html,http://www.oracle.com/technetwork/security-advisory/cpuoct2016-2881722.html,https://git.openssl.org/?p=openssl.git;a=commit;h=5b814481f3573fa9677f3a31ee51322e2a22ee6a"
CVE-2016-2106,7.5 HIGH,,"Up to (including),1.0.1s","[[], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g']]",CWE-189,Integer overflow in the EVP_EncryptUpdate function in crypto/evp/evp_enc.c in OpenSSL before 1.0.1t and 1.0.2 before 1.0.2h allows remote attackers to cause a denial of service (heap memory corruption) via a large amount of data.,
CVE-2016-2107,5.9 MEDIUM,,"Up to (including),1.0.1s","[[], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g']]",CWE-310,"The AES-NI implementation in OpenSSL before 1.0.1t and 1.0.2 before 1.0.2h does not consider memory allocation during a certain padding check, which allows remote attackers to obtain sensitive cleartext information via a padding-oracle attack against an AES CBC session. NOTE: this vulnerability exists because of an incorrect fix for CVE-2013-0169.",
CVE-2016-2108,9.8 CRITICAL,,"Up to (including),1.0.1n","[[], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b']]",CWE-119,"The ASN.1 implementation in OpenSSL before 1.0.1o and 1.0.2 before 1.0.2c allows remote attackers to execute arbitrary code or cause a denial of service (buffer underflow and memory corruption) via an ANY field in crafted serialized data, aka the ""negative zero"" issue.",
CVE-2016-2109,7.5 HIGH,,"Up to (including),1.0.1s","[[], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g']]",CWE-399,The asn1_d2i_read_bio function in crypto/asn1/a_d2i_fp.c in the ASN.1 BIO implementation in OpenSSL before 1.0.1t and 1.0.2 before 1.0.2h allows remote attackers to cause a denial of service (memory consumption) via a short invalid encoding.,
CVE-2016-2176,8.2 HIGH,,"Up to (including),1.0.1s","[[], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g']]",CWE-119,The X509_NAME_oneline function in crypto/x509/x509_obj.c in OpenSSL before 1.0.1t and 1.0.2 before 1.0.2h allows remote attackers to obtain sensitive information from process stack memory or cause a denial of service (buffer over-read) via crafted EBCDIC ASN.1 data.,
CVE-2016-2177,9.8 CRITICAL,,,"[['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.1t'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h']]",CWE-190,"OpenSSL through 1.0.2h incorrectly uses pointer arithmetic for heap-buffer boundary checks, which might allow remote attackers to cause a denial of service (integer overflow and application crash) or possibly have unspecified other impact by leveraging unexpected malloc behavior, related to s3_srvr.c, ssl_sess.c, and t1_lib.c.","https://bugzilla.redhat.com/show_bug.cgi?id=1341705,https://git.openssl.org/?p=openssl.git;a=commit;h=a004e72b95835136d3f1ea90517f706c24c03da7,https://security.gentoo.org/glsa/201612-16"
CVE-2016-2178,5.5 MEDIUM,,,"[['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.1t'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h']]",CWE-200,"The dsa_sign_setup function in crypto/dsa/dsa_ossl.c in OpenSSL through 1.0.2h does not properly ensure the use of constant-time operations, which makes it easier for local users to discover a DSA private key via a timing side-channel attack.","http://www.openwall.com/lists/oss-security/2016/06/08/2,https://bugzilla.redhat.com/show_bug.cgi?id=1343400,https://git.openssl.org/?p=openssl.git;a=commit;h=399944622df7bd81af62e67ea967c470534090e2"
CVE-2016-2180,7.5 HIGH,,,"[['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.1t'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h']]",CWE-125,"The TS_OBJ_print_bio function in crypto/ts/ts_lib.c in the X.509 Public Key Infrastructure Time-Stamp Protocol (TSP) implementation in OpenSSL through 1.0.2h allows remote attackers to cause a denial of service (out-of-bounds read and application crash) via a crafted time-stamp file that is mishandled by the ""openssl ts"" command.","https://bugzilla.redhat.com/show_bug.cgi?id=1359615,https://github.com/openssl/openssl/commit/0ed26acce328ec16a3aa635f1ca37365e8c7403a,https://security.gentoo.org/glsa/201612-16"
CVE-2016-2183,7.5 HIGH,,,"[['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1t'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2h']]",CWE-200,"The DES and Triple DES ciphers, as used in the TLS, SSH, and IPSec protocols and other protocols and products, have a birthday bound of approximately four billion blocks, which makes it easier for remote attackers to obtain cleartext data via a birthday attack against a long-duration encrypted session, as demonstrated by an HTTPS session using Triple DES in CBC mode, aka a ""Sweet32"" attack.","http://www.oracle.com/technetwork/security-advisory/cpujan2018-3236628.html,http://www.oracle.com/technetwork/security-advisory/cpujul2017-3236622.html,http://www.oracle.com/technetwork/security-advisory/cpuoct2016-2881722.html,http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html"
CVE-2016-2179,7.5 HIGH,,,"[['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.1t'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h']]",CWE-399,"The DTLS implementation in OpenSSL before 1.1.0 does not properly restrict the lifetime of queue entries associated with unused out-of-order messages, which allows remote attackers to cause a denial of service (memory consumption) by maintaining many crafted DTLS sessions simultaneously, related to d1_lib.c, statem_dtls.c, statem_lib.c, and statem_srvr.c.",https://git.openssl.org/?p=openssl.git;a=commit;h=f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d
CVE-2016-2181,7.5 HIGH,,,"[['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.1t'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h']]",CWE-189,"The Anti-Replay feature in the DTLS implementation in OpenSSL before 1.1.0 mishandles early use of a new epoch number in conjunction with a large sequence number, which allows remote attackers to cause a denial of service (false-positive packet drops) via spoofed DTLS records, related to rec_layer_d1.c and ssl3_record.c.",https://git.openssl.org/?p=openssl.git;a=commit;h=1fb9fdc3027b27d8eb6a1e6a846435b070980770
CVE-2016-2182,9.8 CRITICAL,,,"[['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.1t'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h']]",CWE-787,"The BN_bn2dec function in crypto/bn/bn_print.c in OpenSSL before 1.1.0 does not properly validate division results, which allows remote attackers to cause a denial of service (out-of-bounds write and application crash) or possibly have unspecified other impact via unknown vectors.",https://git.openssl.org/?p=openssl.git;a=commit;h=07bed46f332fce8c1d157689a2cdf915a982ae34
